Episode,Average_Loss,Avg_THI_Deviation,Cumulative_Reward,Avg_Power_Consumption,Peak_Power_Consumption
1,0.05126112923262862,3.6876507466517356,-110.43017778702982,0.12493329800124363,2.0625
2,0.031130084606854035,4.047078432129558,-116.13010352740305,0.04429215066188247,0.3200000000000003
3,0.02902809379156679,2.811485407088163,-68.24442316005708,3.968253968253978e-05,0.02000000000000005
4,0.01877574559331688,1.9585592289431277,-49.74402446830376,5.29100529100532e-05,0.02000000000000005
5,0.021178269179984114,4.2892462163120735,-125.79763540471384,0.05836666275705684,0.30666666666666664
6,0.02046856852406849,3.658722416004624,-100.14168822978412,0.0741530454331494,1.072727272727274
7,0.022897825376746277,4.089066628705832,-100.56401824321026,0.09129821443707666,1.6625000000000014
8,0.03019098918787787,5.665318998013697,-306.81422637332554,1.520352669027223,2.2875000000000227
9,0.03925282984211019,3.1533776248173,-159.75357310634575,0.7207184225287703,1.9500000000000028
10,0.04017180281970835,4.8311772046556545,-250.54419625559655,1.2502592119605243,2.25
11,0.046344620501067094,3.365491885317274,-133.23305428351762,0.47578517818148236,1.7999999999999972
12,0.047888754571118686,6.5069507627988274,-307.42684388217884,1.5229764695203434,2.2375000000000114
13,0.05156007601655501,6.406211446579751,-129.18596999757054,0.024273124188537713,0.4842105263157901
14,0.04992301439844205,3.8984226507371895,-151.7603093728774,0.5058498383847602,1.8125
15,0.05044732753568834,6.005646095592186,-133.31163732444057,0.11671720947815604,1.3058823529411754
16,0.05069639107904899,5.226190476190476,-263.29558802312465,1.2188903974889618,2.25
17,0.05429048921124154,3.0542424426164163,-133.5766667643058,0.5025596774577663,1.8125
18,0.049701102067777524,3.0453147463822194,-103.89535981729965,0.2515187435682808,1.5250000000000057
19,0.054182724771228714,6.609993492164844,-334.025585481427,1.732697695743616,2.4000000000000057
20,0.05401330324821174,2.642320104966793,-73.83413774828894,0.07380053604665403,1.0300000000000011
21,0.0516413383738547,1.259061764209439,-69.87591459194908,0.31792585345840396,1.9124999999999943
22,0.047406525094669395,0.9672080754141706,-52.02121737268346,0.24152066842847897,1.7750000000000057
23,0.049623710676846254,6.588841475761829,-125.8979767738042,0.0018114634962461066,0.2272727272727273
24,0.051216164289994044,2.125948253775907,-73.15581712373489,0.1886691193909703,1.75
25,0.05406698977961677,1.6896178004457327,-115.77370638719218,0.6300226956183235,2.137500000000001
26,0.050102325808997476,4.029283610851014,-100.29510605362798,0.0897333883048169,0.9299999999999997
27,0.05469908706184706,1.0620648824890815,-61.84436262432998,0.27710822348356856,1.04
28,0.04607498148645073,1.6900151100945118,-49.52923102858059,0.055177961968507175,0.709090909090909
29,0.04009157518030442,2.284568728426028,-67.41764778301237,0.0910893317513579,0.8434782608695655
30,0.03549444326847629,1.7001597949903613,-46.39927253864112,0.02014693421986799,0.37692307692307736
31,0.030062485957484893,3.679845739816056,-99.08146376012422,0.08936654407645099,0.6076923076923109
32,0.028169309140403366,3.6511385320470744,-96.61131594193714,0.033558201058201086,0.3642857142857139
33,0.023199902281996462,2.5918268282494488,-66.64398451872468,0.010972222222222223,0.2928571428571427
34,0.02247495894185147,3.3610407057768734,-87.17707454114397,0.021205593348450492,0.3714285714285719
35,0.02287550552523182,3.344932714665841,-92.92231360114305,0.0753571648556597,0.6230769230769226
36,0.018717869573618075,1.6964243735121043,-48.36273632859079,0.04648061518545916,0.5153846153846153
37,0.01609791772950174,0.9949353348677921,-36.06558675513236,0.0703506082394971,0.46399999999999997
38,0.015011816170986809,2.1254656042791673,-80.86210185721268,0.23345945339199334,0.6000000000000014
39,0.011028572571210222,0.6951826522669946,-55.584927258111826,0.34496008741660944,0.8434782608695741
40,0.008329939082006611,1.5036261355226754,-93.91270102406644,0.4044412223578888,0.8160000000000025
41,0.008867456487687324,0.9005669686336144,-69.36513134563884,0.36995069825504623,0.9545454545454675
42,0.008774161705525987,0.5163434946742176,-81.84653454957319,0.5795113411433281,1.181818181818187
43,0.009703017110361442,3.356120128019518,-211.2556173982383,1.0865245889482178,1.9111111111110972
44,0.011639304586735259,1.5900138337704737,-129.99431090367207,0.7445336143899824,1.1999999999999886
45,0.011151653507626735,1.3451784791146608,-129.61833325154058,0.787183486372152,1.1619047619047365
46,0.012011678663969306,2.8794792724625107,-156.36057352223673,0.7383257513184879,1.5176470588235276
47,0.013167480628698635,3.727456090968869,-143.28834817897945,0.5010848944320809,1.4625000000000057
48,0.014106086030358053,6.12349646822854,-176.42521719325475,0.46855738037727934,1.7250000000000014
49,0.015639946852934735,4.014463189702264,-117.11469830694287,0.2033969177561157,1.3764705882352928
50,0.016505787057652106,5.4590157464729945,-239.26455535486798,1.0569324305481698,2.0500000000000114
