Episode,Average_Loss,Avg_THI_Deviation,Cumulative_Reward,Avg_Power_Consumption,Peak_Power_Consumption
1,0.023274452917221577,1.414717977221599,-54.71021794846889,0.1282095992946347,1.487499999999999
2,0.006650057322971493,2.5536439550767898,-66.21398332771552,0.017237678547202363,0.31538461538461515
3,0.00886662376591048,3.0236564537125044,-85.96304323107834,0.17193053096734004,0.7359999999999971
4,0.009067219536923701,2.7651485989424374,-64.9697204739862,0.0004420434873363173,0.04999999999999993
5,0.009960367784291047,2.8806117406820633,-93.09905561461568,0.20671386282260007,0.9727272727272691
6,0.01102112304026059,2.9464347281486054,-92.46195220619974,0.17998801101295386,1.1619047619047622
7,0.01362298768711282,2.0621589487360454,-105.76725316834111,0.47790251613826823,1.8444444444444343
8,0.012854385450778614,1.7480975940387316,-64.93186009663667,0.164162314115879,1.3999999999999986
9,0.015393198801356851,2.786898436213174,-122.80305749081985,0.4449291812394366,2.2874999999999943
10,0.014541001813557965,2.3455002584094093,-63.99373778370477,0.06710102466733676,1.68888888888889
11,0.016282687270338044,2.9075960339057256,-101.47639766999679,0.2899712462150812,2.1624999999999943
12,0.015213742325217583,2.381111847052995,-86.72370777154573,0.2552493555285216,1.8499999999999943
13,0.017525199114272805,1.6048295077540065,-59.18773198491314,0.1412414362120989,1.8374999999999995
14,0.014017262734786587,2.2329994887101634,-92.91093231959005,0.3290441078949742,2.0
15,0.018169117141047502,2.8092775758632933,-135.64709960102493,0.5717448748141007,2.1500000000000057
16,0.020895586792512928,3.771637722577628,-197.22265148826833,0.9362541446631011,2.3500000000000227
17,0.02747524478350105,4.153288427052478,-205.38910108720916,0.9628174380703471,2.1875
18,0.02731116639105807,1.9735072786358818,-67.00215533886151,0.1325440251370399,1.7375000000000007
19,0.0270990134043495,1.4933104361232508,-56.739465521539074,0.1595698324517796,1.6875
20,0.022772682325916355,1.7931172464067313,-50.02280773012449,0.019856766508164026,0.4833333333333334
21,0.02391018375345167,2.4858876547560893,-60.51061596372751,0.0006910235358511222,0.12413793103448278
22,0.022286506251674554,2.530012963601473,-61.149878242833964,8.073344280240852e-05,0.02068965517241384
23,0.02508830237845755,4.947994834645903,-257.86024797853815,1.288913757186492,2.2875000000000227
24,0.027537849845844238,2.0873353373448675,-107.30803583776304,0.49449685489837697,2.0625
25,0.027656508865164478,2.2940179256844164,-106.0440858870154,0.3967750107775776,2.0
26,0.02691496616376612,2.279723663795218,-55.846589239229466,0.004326075159408494,0.20769230769230762
27,0.027594146119230695,3.866312580802667,-86.18962262426413,0.0034743218274964315,0.15714285714285703
28,0.025243874870251797,1.93058654934495,-53.864241277536294,0.042899643713135795,0.46399999999999997
29,0.02420110442727956,4.9033332241086605,-104.35037184040425,0.0,0.0
30,0.026077291602361392,1.851578203927473,-110.73238212957918,0.5364468068196332,1.7529411764705856
31,0.025094134068148023,2.2532000418537557,-53.1814337636557,0.01746516754850088,0.3250000000000002
32,0.02325491232727608,1.2285860636219992,-51.929646428316374,0.16464154175834647,0.9333333333333336
33,0.024329614411265577,2.698267402912271,-155.8806792618915,0.7595339521700479,2.1750000000000114
34,0.024510288892024997,1.2253514366352845,-59.3326261205689,0.23686893964896008,2.0
35,0.024020611924613654,2.7991213632697747,-156.70079403907664,0.7733414753410689,2.1875
36,0.02272638935321145,3.4200385231439565,-79.0480250906738,0.02986277130902734,0.5478260869565217
37,0.020590021730924606,1.8075551995486996,-81.36024758633461,0.2906073282971671,2.1875
38,0.018249707265940326,2.2432256698923423,-132.82191121593064,0.6603218004590817,2.137500000000003
39,0.021133944343601465,3.377794016635096,-201.10387579517226,1.0354507312805699,2.3375000000000057
40,0.02402060955603631,3.4088210359111057,-193.69885710783836,0.9820954410485069,2.200000000000003
41,0.026652251587806652,1.986780753610956,-70.98247390599856,0.17833257864609106,1.7249999999999943
42,0.025754238697320637,1.4303251986069148,-78.35991753362275,0.3663274541922491,1.6823529411764753
43,0.022729717707215154,2.5559220979262327,-73.39882571838292,0.11202384123913489,1.12222222222222
44,0.020431613228348626,3.3373879157635677,-88.58764311769075,0.09516077679521208,1.31764705882353
45,0.020075580113054537,3.8690216393016437,-106.36186697372797,0.12072955898799288,1.3058823529411754
46,0.019444850110148022,4.565608808721507,-186.33859121075884,0.6699937187196418,1.7529411764705856
47,0.02398848612644667,6.884920634920635,-342.6385783240991,1.765503995325833,2.1875
48,0.033196246509753155,6.912698412698413,-335.8819337170112,1.7080494011702951,2.3999999999999773
49,0.036161123976300266,6.900376920294884,-336.08330788698265,1.710233141877012,2.2374999999999545
50,0.039832528117464606,5.342470660317125,-246.685545239613,1.1011877427623145,2.0500000000000114
51,0.04261144487766797,3.359320034967086,-139.68162029915214,0.470032785640241,1.7999999999999972
52,0.04440203456140529,4.535764341827175,-106.40888319120054,0.09439479274477974,1.2111111111111086
53,0.04714950910703673,5.541666666666667,-289.94764064278013,1.4284264325707712,2.2375000000000114
54,0.05008812672801123,3.599210144950912,-201.81562237494654,0.9643565987424797,2.1624999999999943
55,0.0547484065758742,2.9231335647081593,-178.0966910550872,0.8798089682521033,1.8588235294117652
56,0.05392249101943246,2.020824137078578,-124.44496351056056,0.5937150559204332,1.6444444444444457
57,0.05871093530526337,3.219586420582101,-194.32506934023814,1.0084342207845627,2.1875
58,0.057805341148145395,2.8010458843735546,-137.36344107228962,0.6049688674771085,2.0374999999999943
59,0.06174871000548302,4.9529312960729515,-221.88703228125766,0.989300122381777,2.0124999999999886
60,0.05662477027882209,5.2067755726134415,-223.59403712953022,0.9841899882270663,1.9250000000000114
61,0.062299872369451774,6.759595646475747,-323.82769652120476,1.633394575935337,2.2000000000000455
62,0.07156075166342095,4.477627933665529,-228.50858577646738,1.1419041747615744,2.1875
63,0.0729036068263284,1.6695373942665044,-107.73157372431815,0.5361812878039411,1.6526315789473642
64,0.07192104775643728,1.9978106932258064,-74.60657572944254,0.1998312237120037,0.9636363636363638
65,0.06677137008566357,2.223245801820901,-57.22931067452787,0.009213626260013779,0.3769230769230769
66,0.06146473652233275,2.9323118586847587,-71.12867743926122,0.007472116462264245,0.43846153846153846
67,0.05550385223679378,1.4884205145732021,-42.69379363157187,0.030854359459997125,0.430769230769231
68,0.047808129408917065,2.9290789564579773,-68.91352586391234,0.009630879646615825,0.39230769230769247
69,0.043455210501405876,1.3788366770667455,-38.5898887422636,0.013167368419352548,0.5916666666666668
70,0.03703986159636904,2.597614987383514,-63.78674440903657,0.024765553731070974,0.28965517241379324
71,0.03623461306593186,1.502708859255673,-86.98698645090893,0.31292971629755634,1.2285714285714278
72,0.03329043875857595,0.9772040927184442,-57.21692679841052,0.27380632839526575,1.4210526315789451
73,0.03214509782884048,1.1539255495214988,-78.4739088695632,0.4033656531030269,1.6666666666666714
74,0.026592778051679374,2.7927799514323763,-69.94746562213679,0.056293180252725866,1.0105263157894733
75,0.025848452144841223,2.413450350937709,-94.92505172204542,0.304512377151895,1.8250000000000028
76,0.024791061353293908,2.7821368663356334,-135.66555632589439,0.6107231555723547,2.0
77,0.02402795053010336,4.00211481530031,-207.8938453564521,0.9868342766669262,2.125
78,0.02584874266471573,5.586986269833076,-271.9654416168093,1.311980518995885,2.1625000000000227
79,0.025995687866040968,3.4625943010286515,-92.22134121137046,0.08758033090167971,1.3411764705882376
80,0.024410795742112617,4.171305886691758,-181.61311243127977,0.7497935011976419,2.0249999999999773
81,0.025114967422717238,5.622615386556712,-300.408627889132,1.515219783535732,2.2375000000000114
82,0.023167091739321383,2.9582158507851073,-80.12899688337103,0.0785866153023675,0.9428571428571431
83,0.022529715542064954,0.7565670804036075,-52.26810198830538,0.28665546803667913,1.0
84,0.02103623947490629,2.35277681923742,-60.780100683706586,0.02722044724822502,0.5999999999999996
85,0.02066157146257017,1.3058731895895515,-102.74404766234828,0.5580195746857235,1.4799999999999898
86,0.02097496544575656,1.180102317258837,-101.78430460971494,0.5814435444357803,1.3300000000000125
87,0.02081790644070041,1.2653830758346616,-100.4435803702007,0.5646884372816051,1.4000000000000057
88,0.020387249611545852,2.466245432455691,-95.36886771814795,0.27257974913686284,1.4941176470588289
89,0.021932835700860614,4.0909987394686675,-217.91954793365352,1.0153648329935412,2.0625
90,0.0230903847103246,5.208333333333333,-275.6666786897828,1.333520114174463,2.3500000000000227
91,0.028942531983601392,5.656746031746032,-295.5070891939317,1.4357761030719614,2.1750000000000114
92,0.02975509138259422,4.534403632501433,-190.84655962671403,0.7168845239162395,1.77647058823527
93,0.0339507092268134,6.642857142857143,-343.8118011364503,1.77612044544875,2.375
94,0.03731137767589649,4.49690946648992,-127.53354759911922,0.25495459686582883,1.6124999999999972
95,0.040352105200068496,6.469881870333292,-317.2103597442406,1.5806400994635352,2.3249999999999886
96,0.04100461496654935,4.799803586822995,-126.42666764288914,0.11256474437832362,1.3125
97,0.04347974632516741,6.718305141532298,-303.84593147725116,1.4510274852193696,2.2125000000000004
98,0.04283386597383923,5.675233360941915,-134.9327977177469,0.1525794036381166,1.6124999999999972
99,0.0442847447691089,6.928571428571429,-330.833730038516,1.6651223485786537,2.2375000000000114
100,0.046396292454450136,6.242554061204391,-263.8482142333679,1.1550680428001054,2.0125000000000455
101,0.04571692409525231,5.788798300913799,-211.73382154154461,0.7352098216751282,1.9375
102,0.04792748061869716,6.9086878539265,-328.8018889577546,1.647899085169939,2.3499999999999943
103,0.05550719680686742,6.874213223225936,-294.3486123861758,1.3553707372720176,1.9625000000000057
104,0.058070596517665427,6.130074805288067,-239.96373040470976,0.9314058610773744,1.8874999999999886
105,0.06439348481499237,6.5798607375553555,-254.01549675608786,1.014897540877101,1.8625000000000114
106,0.07222910398232267,6.648785965665962,-282.34799745875915,1.269180802277032,2.1000000000000227
107,0.08299690253975214,6.680011392988469,-283.56520584006785,1.2737625445146044,2.1125000000000007
108,0.09131306925303419,6.293508330520506,-239.0323336677466,0.9093200954845877,1.8874999999999886
109,0.09581856420689501,6.9186507936507935,-321.9476606285559,1.5895606670529974,2.200000000000003
110,0.10242277192170351,6.918364796112515,-328.9356402504971,1.6492972375984734,2.3500000000000227
111,0.10235837179330542,6.934523809523809,-332.8583742116971,1.68233869321677,2.2875000000000227
112,0.11065279407274889,6.654761904761905,-326.20630211614116,1.6270522594251409,2.2124999999999773
113,0.1066011816937158,4.3710367158764445,-125.67191875365661,0.24442987379944556,1.625
114,0.09971786880399106,6.216134039592171,-127.38514491726117,0.09469349559777837,1.3666666666666671
115,0.09313460430926523,3.841786205494526,-199.004446066179,0.8698792092980004,1.6888888888888687
116,0.09438042869609937,3.944086568519194,-210.58109488413152,0.9506362229610877,1.729411764705901
117,0.08721055171432096,3.7409476798215384,-113.79955771492347,0.25147152746558893,1.3999999999999986
118,0.08654874511929618,3.7773093695064484,-169.42912866994342,0.6757852973417052,1.9499999999999886
119,0.08062584864097845,4.476689041933912,-220.22596223994597,0.9517338655889356,2.0749999999999886
120,0.07961804314033234,4.60097733240891,-191.6848596125832,0.6847726074174443,1.9750000000000014
121,0.07372501209030154,5.759300484865172,-234.71523756264756,0.9157230192271834,1.9375
122,0.0765785403905166,6.387351845418651,-282.81248697700426,1.2650511279150114,2.0999999999999943
123,0.07387993883278599,6.884920634920635,-326.18264143965604,1.6255724550132942,2.1374999999999886
124,0.0759581838004017,6.646307408115648,-306.97593568705247,1.464729416462437,2.1000000000000227
125,0.07154365611460733,5.020785443560415,-200.22760431785065,0.6675362686266368,1.9000000000000057
126,0.0748075870223062,6.863095238095238,-342.1771655058883,1.7615804806617041,2.2875000000000227
127,0.06961770819511198,5.55287206049949,-216.0622313164555,0.7278058894122945,1.8000000000000114
128,0.07394916847974033,6.880952380952381,-330.30813549200974,1.6606532504469853,2.2875000000000227
129,0.07161475491485972,6.825396825396825,-329.3066282895567,1.6574946214491904,2.3125
130,0.07120404788894694,5.301161217606476,-184.73982197873104,0.4576631508752711,1.5749999999999886
131,0.0639498873473058,5.823996991568776,-258.5411049823417,1.0551181650485357,1.987499999999999
132,0.06695846451546397,6.852568904965467,-308.8530529193224,1.4786769098140389,2.1000000000000227
133,0.06475232550332778,6.871035427354183,-226.24770591696546,0.7687185684126565,1.9625000000000057
134,0.07495139671811764,6.920511391897845,-346.25480935813164,1.7964296385107068,2.3875000000000455
135,0.07678902589865992,6.709945977867004,-336.75285230592425,1.716469482605005,2.4000000000000057
136,0.0853783247782247,5.635115412305875,-263.49497578082276,1.1430273521864747,2.0749999999999993
137,0.08643121314262804,4.751290210296529,-159.83067109745943,0.3108352668552803,1.352941176470587
138,0.09492041602745563,6.059523809523809,-315.7850615397082,1.5492798020681056,2.2000000000000455
139,0.09064800188567482,5.674603174603175,-286.535245740466,1.3413775998162092,2.2749999999999773
140,0.10301756312067123,5.8649475435161875,-297.8768616303427,1.4169374379743647,2.1750000000000114
141,0.09685301664424227,4.838976084770789,-196.32351295882347,0.6569226926231505,1.9124999999999943
142,0.10053332482240576,6.373015873015873,-330.7759191326273,1.6665503538246604,2.2875000000000227
143,0.09108422673261071,6.363095238095238,-318.6718563032922,1.5642624740821585,2.2749999999999773
144,0.09508027516909047,5.770956693455119,-181.63439616043985,0.4220505456081067,1.6500000000000057
145,0.08774935383216347,6.924603174603175,-327.04081341412905,1.6328697198903988,2.1875
146,0.0949433329487386,6.6542682617965,-282.3616287345734,1.255274291488548,1.9750000000000227
147,0.0895031479457634,6.845496190443816,-307.38046101566135,1.465752737518742,2.1375000000000455
148,0.09936641337013032,6.789131906773803,-328.12183244240504,1.6431510439180952,2.2375000000000007
149,0.08615261406098931,4.885108019644059,-164.1565903732906,0.3328287521148812,1.5625
150,0.08949708429055944,6.020443891744801,-281.85336235584555,1.259896802011646,2.2374999999999545
151,0.07856956053391899,5.283423862694982,-182.45944842717495,0.421984812199734,1.411764705882348
152,0.08623489319433868,5.0990577870797535,-234.89320176799973,0.9718038708011462,2.1000000000000227
153,0.0707215291010975,6.388730205361892,-157.9601926544172,0.1822462698529705,1.0117647058823565
154,0.0745191089142388,6.007936507936508,-287.6972086600939,1.30470162238169,2.0749999999999886
155,0.06655756594839082,6.918610560478802,-325.76701266991927,1.622089754351108,2.25
156,0.07317148546538284,6.927992772378965,-326.6038079208625,1.629611431770006,2.2750000000000057
157,0.06546893067913459,6.675851202583781,-191.51382828668054,0.47515631661501256,1.5749999999999993
158,0.07478307065170696,6.930555555555555,-331.7895516626228,1.6732500776846124,2.25
159,0.06579174503598874,6.807345820199052,-323.2370778672472,1.6007568329765092,2.1875
160,0.07160858677702013,6.8897471159978645,-173.17729739161132,0.3158932077750623,1.7874999999999943
161,0.0618263877026559,6.182204742762359,-274.38521298485375,1.1863923899782443,2.375
162,0.06922122229549804,5.5103754257929545,-176.10504374067773,0.3637981681464008,1.625
163,0.05786497903817424,6.825396825396825,-347.8401545080647,1.8097360407653802,2.3374999999999773
164,0.06366984641446063,5.649832521642365,-247.1263595909169,0.9791110183951381,1.9499999999999886
165,0.05488551401201761,6.152090488990608,-303.1592583020395,1.4374597177840545,2.1499999999999773
166,0.06239371308334779,6.085889120273997,-281.09945268214466,1.245926862908406,2.125
167,0.05182937095608288,6.565746873985631,-311.35761082152214,1.5032395750447134,2.1499999999999773
168,0.05826284415616282,6.427308842899294,-191.9870988602228,0.4783890574852475,1.5750000000000028
169,0.048486160024145165,6.916543349780088,-309.4902566414746,1.4837840030687461,2.1875
170,0.06500289511587286,6.924603174603175,-314.9941999479509,1.5304325305521531,2.1750000000000114
171,0.054306150260372145,6.932539682539683,-333.5918995888089,1.6885761596994069,2.2875000000000227
172,0.07192394510929882,6.1917523049268,-225.84468660861705,0.772632814334311,1.7874999999999943
173,0.061599932312891334,6.829365079365079,-321.79973261817474,1.5883034533705778,2.2249999999999943
174,0.0777054253954507,5.519565803817811,-285.8942593245474,1.2840887339370093,1.941176470588232
175,0.05857313382226389,4.678045209738597,-201.84891523694608,0.658829508244868,1.7375000000000007
176,0.06757798697243983,4.950291499144996,-275.88951246045775,1.2216667898600464,2.1411764705882206
177,0.05317382642996514,6.557539682539683,-331.50151307222524,1.6708032138746762,2.25
178,0.06927241898691708,6.904954854107403,-201.3882065418166,0.5528468579778729,1.6000000000000227
179,0.04956379061204679,6.774493459674383,-201.54427096604886,0.5637609240209271,1.625
180,0.06085088533889984,7.1014790936066605,-255.65256407118443,1.013858575837743,1.8874999999999886
181,0.05277791694149182,6.420402459764552,-327.82411306263003,1.6398033189113357,2.1875
182,0.06960287119797014,6.6726190476190474,-328.949500468831,1.6510158941975588,2.2624999999999886
183,0.054739049617312185,6.365079365079365,-308.3484627818293,1.474565435562347,2.2999999999999545
184,0.07077732383019882,6.120710311612425,-287.29931507866405,1.3010220964440378,2.1124999999999545
185,0.05249746213667095,5.753117538013175,-190.1929512689781,0.4739396013945336,1.4875000000000114
186,0.06548114403689773,6.206391234751798,-281.5133048319317,1.2507967248934884,2.1499999999999773
187,0.047222566459453844,5.67729388062306,-214.4987483434155,0.6835380755616085,1.7874999999999943
188,0.060960321454794165,6.658103960866524,-323.7117749852398,1.6050332074182554,2.1625000000000227
189,0.049736783786993435,6.024932621474655,-265.0898625647362,1.1080677242206072,2.0250000000000012
190,0.05794108946757691,6.200599184329219,-242.38197155868784,0.9133102089100908,1.8625000000000114
191,0.045407225306573554,6.926847320670845,-327.07473285980757,1.633347182350624,2.3999999999999773
