"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","Cloud Amount"
"01","1019.9","1023.1","15.5","10.4","72","3.0","30","6.1","20","0.0","0.0","--","0.00","--","--"
"02","1019.7","1022.9","15.4","10.2","71","1.8","30","4.7","40","0.0","0.0","--","0.00","3.0","9.0"
"03","1019.6","1022.8","14.9","10.0","72","2.2","20","4.6","30","0.0","0.0","--","0.00","--","--"
"04","1019.6","1022.8","14.8","9.7","71","2.2","10","4.0","40","0.0","0.0","--","0.00","--","--"
"05","1019.7","1023.0","14.2","9.5","73","3.5","20","4.9","30","0.0","0.0","--","0.00","3.0","9.0"
"06","1019.7","1023.0","14.2","9.4","73","2.8","30","5.3","30","0.0","0.0","0.0","0.00","--","--"
"07","1020.1","1023.4","13.8","9.4","75","1.9","40","4.3","30","0.0","0.0","0.0","0.00","--","--"
"08","1020.5","1023.8","14.5","10.1","75","2.0","30","3.8","30","0.0","0.0","0.4","0.24","5.0","2.0"
"09","1021.3","1024.5","16.1","10.8","71","1.8","10","3.8","360","0.0","0.0","1.0","0.87","5.0","0.0"
"10","1021.2","1024.4","17.7","11.0","65","2.8","350","4.4","10","0.0","0.0","1.0","1.46","--","--"
"11","1020.6","1023.8","19.4","11.2","59","2.7","30","4.8","340","0.0","0.0","1.0","1.89","6.0","0.0"
"12","1019.5","1022.7","20.9","10.8","52","3.9","10","7.3","10","0.0","0.0","1.0","2.40","--","--"
"13","1018.6","1021.8","21.0","10.8","52","4.7","350","8.9","20","0.0","0.0","1.0","2.40","--","--"
"14","1017.8","1021.0","20.9","10.5","51","4.8","330","8.7","320","0.0","0.0","1.0","2.18","15.0","1.0"
"15","1017.6","1020.8","20.6","11.0","54","4.4","340","7.4","320","0.0","0.0","1.0","1.69","--","--"
"16","1018.0","1021.2","19.9","10.8","56","4.9","350","8.5","340","0.0","0.0","1.0","1.07","--","--"
"17","1018.4","1021.6","18.9","10.9","60","4.8","360","8.3","330","0.0","0.0","0.9","0.43","15.0","3.0"
"18","1018.8","1022.0","18.1","10.8","62","3.7","20","7.9","30","0.0","0.0","0.0","0.00","--","--"
"19","1019.5","1022.7","17.9","10.7","63","3.4","20","7.0","30","0.0","0.0","0.0","0.00","--","--"
"20","1019.9","1023.1","17.3","11.4","68","2.9","20","7.0","20","0.0","0.0","--","0.00","6.0","0.0"
"21","1019.9","1023.1","16.5","11.8","74","4.0","10","7.7","30","0.0","0.0","--","0.00","6.0","0.0"
"22","1019.5","1022.7","16.2","11.8","75","4.3","20","8.2","30","0.0","0.0","--","0.00","--","--"
"23","1019.2","1022.4","15.9","11.5","75","3.7","30","7.5","10","0.0","0.0","--","0.00","7.0","1.0"
"24","1018.9","1022.1","15.7","11.4","76","3.1","30","6.4","40","0.0","0.0","--","0.00","--","--"
