"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1013.0","1016.2","19.4","17.2","87","1.1","30","3.8","30","0.0","0.0","--","0.00","--","0","--"
"02","1012.9","1016.1","19.6","17.4","87","2.0","20","4.5","20","0.0","0.0","--","0.00","--","0","--"
"03","1012.3","1015.5","20.6","17.6","83","1.1","80","3.4","40","0.0","0.0","--","0.00","--","0","--"
"04","1011.8","1015.0","20.8","17.8","83","0.9","20","3.3","80","0.0","0.0","--","0.00","--","0","--"
"05","1011.8","1015.0","20.7","18.1","85","2.0","20","2.6","30","0.0","0.0","--","0.00","--","0","--"
"06","1012.4","1015.6","19.3","17.6","90","2.2","350","4.3","350","0.0","0.0","0.0","0.00","--","0","--"
"07","1012.6","1015.8","19.1","17.4","90","1.1","40","4.2","360","0.0","0.0","0.0","0.02","--","0","--"
"08","1012.8","1016.0","20.9","18.3","85","1.8","20","2.9","10","0.0","0.0","1.0","0.47","3.0","0","2.0"
"09","1013.9","1017.0","22.9","18.0","74","0.5","10","3.8","10","0.0","0.0","1.0","1.23","5.0","2","1.0"
"10","1014.5","1017.6","25.5","18.7","66","2.5","340","4.7","340","0.0","0.0","1.0","1.90","--","4","--"
"11","1014.3","1017.4","26.4","18.6","62","1.7","320","4.6","20","0.0","0.0","0.4","1.75","8.0","6","10.0"
"12","1013.5","1016.6","27.9","18.1","55","1.3","320","2.8","330","0.0","0.0","0.1","1.66","--","6","--"
"13","1012.4","1015.5","27.6","18.9","59","3.1","300","5.4","280","0.0","0.0","0.5","2.07","--","8","--"
"14","1011.5","1014.6","28.1","18.8","57","2.7","310","5.2","330","0.0","0.0","1.0","2.56","12.0","8","4.0"
"15","1010.7","1013.8","28.4","18.8","56","1.4","290","4.8","320","0.0","0.0","1.0","2.31","--","6","--"
"16","1010.8","1013.9","26.3","19.2","65","2.5","340","6.7","290","0.0","0.0","0.7","1.32","--","3","--"
"17","1011.0","1014.1","26.7","18.6","61","1.3","340","3.9","300","0.0","0.0","0.9","0.83","18.0","1","4.0"
"18","1011.4","1014.5","24.9","18.8","69","3.5","350","5.7","340","0.0","0.0","0.5","0.21","--","0","--"
"19","1011.7","1014.8","22.7","18.9","79","2.2","360","5.3","320","0.0","0.0","0.0","0.00","--","0","--"
"20","1012.0","1015.1","22.6","18.8","79","2.5","360","4.3","350","0.0","0.0","--","0.00","--","0","--"
"21","1012.3","1015.4","22.1","18.5","80","3.8","20","5.9","50","0.0","0.0","--","0.00","--","0","--"
"22","1012.6","1015.8","21.3","18.3","83","3.5","360","5.9","10","0.0","0.0","--","0.00","--","0","--"
"23","1012.5","1015.7","20.7","18.5","87","2.1","360","5.0","20","0.0","0.0","--","0.00","--","0","--"
"24","1012.5","1015.7","19.9","17.9","88","2.4","360","3.9","20","0.0","0.0","--","0.00","--","0","--"
