"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1013.1","1016.3","17.6","14.8","84","2.6","80","10.3","50","0.0","0.0","--","0.00","--","0","--"
"02","1013.3","1016.5","17.9","15.2","84","2.9","50","5.8","90","0.0","0.0","--","0.00","4.0","0","9.0"
"03","1012.4","1015.6","17.5","14.9","85","3.0","80","6.6","80","0.0","0.0","--","0.00","--","0","--"
"04","1012.3","1015.5","16.9","14.8","87","3.7","40","7.1","90","0.0","0.0","--","0.00","--","0","--"
"05","1013.5","1016.7","16.4","14.3","87","5.7","60","10.8","90","0.0","0.0","--","0.00","4.0","0","9.0"
"06","1013.1","1016.3","16.2","14.1","87","4.0","80","9.9","90","0.4","0.2","0.0","0.00","--","0","--"
"07","1013.2","1016.4","16.4","15.6","95","2.9","70","6.8","60","0.0","0.0","0.0","0.00","--","0","--"
"08","1014.1","1017.3","16.2","14.9","92","4.4","50","7.8","90","0.0","0.0","0.0","0.00","2.5","0","10.0"
"09","1014.9","1018.1","16.0","14.1","88","4.2","60","9.1","90","0.0","0.0","0.0","0.08","5.0","0","10.0"
"10","1015.4","1018.6","15.5","12.9","84","5.2","80","8.4","60","0.0","0.0","0.0","0.17","--","1","--"
"11","1015.4","1018.6","14.9","12.8","87","3.6","60","8.2","90","0.1","0.2","0.0","0.00","4.0","0","10.0"
"12","1014.4","1017.6","15.0","14.3","96","4.0","70","7.4","80","T","0.2","0.0","0.33","--","1","--"
"13","1013.6","1016.8","15.6","15.2","97","3.5","60","7.9","90","0.0","0.0","0.0","0.77","--","2","--"
"14","1013.7","1016.9","15.1","13.6","91","4.5","20","8.4","80","0.0","0.0","0.0","0.06","4.0","0","10.0"
"15","1013.8","1017.0","14.0","13.0","94","5.7","60","11.8","110","1.0","0.8","0.0","0.00","--","0","--"
"16","1013.8","1017.0","13.6","12.5","93","5.2","70","13.4","70","0.5","1.0","0.0","0.00","--","0","--"
"17","1014.4","1017.6","13.3","12.4","94","6.1","70","12.9","80","T","0.5","0.0","0.00","10.0","0","10.0"
"18","1014.3","1017.6","12.8","11.6","92","7.2","80","16.2","60","0.5","0.2","0.0","0.00","--","0","--"
"19","1014.6","1017.9","12.6","11.7","94","5.8","80","14.2","100","T","0.3","0.0","0.00","--","0","--"
"20","1015.7","1019.0","12.3","11.4","94","5.7","70","11.5","350","4.0","0.9","--","0.00","5.0","0","10.0"
"21","1016.2","1019.5","12.2","11.5","95","4.6","70","10.0","50","4.5","1.0","--","0.00","3.0","0","10.0"
"22","1017.0","1020.3","11.9","11.1","95","5.5","70","11.0","60","1.5","0.6","--","0.00","--","0","--"
"23","1016.4","1019.7","11.8","11.1","95","5.3","90","12.1","100","1.0","1.0","--","0.00","4.0","0","10.0"
"24","1017.9","1021.2","11.8","11.1","95","5.6","30","11.2","80","3.0","1.0","--","0.00","--","0","--"
