"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1001.4","1004.5","26.8","22.4","77","6.2","340","11.5","360","0.0","0.0","--","0.00","--","0","--"
"02","1001.1","1004.2","26.6","22.5","78","5.2","340","11.5","340","0.0","0.0","--","0.00","--","0","--"
"03","1001.3","1004.4","26.7","22.6","78","6.9","340","12.3","350","0.0","0.0","--","0.00","--","0","--"
"04","1001.5","1004.6","26.5","23.4","83","5.5","360","10.4","350","0.0","0.0","--","0.00","--","0","--"
"05","1001.7","1004.8","26.5","23.4","83","4.8","350","9.4","340","0.0","0.0","--","0.00","--","0","--"
"06","1002.3","1005.4","26.5","23.2","82","5.3","340","9.7","330","0.0","0.0","0.0","0.01","--","0","--"
"07","1003.0","1006.1","26.9","23.6","82","4.7","360","10.1","320","0.0","0.0","0.7","0.32","--","0","--"
"08","1003.4","1006.5","28.0","22.5","72","6.6","360","11.1","10","0.0","0.0","0.7","0.95","15.0","1","4.0"
"09","1003.6","1006.6","29.6","21.6","62","6.1","360","12.7","180","0.0","0.0","1.0","1.94","20.0","4","6.0"
"10","1003.3","1006.3","29.7","21.7","62","5.3","340","14.6","10","0.0","0.0","0.7","2.29","--","6","--"
"11","1003.2","1006.2","30.7","22.6","62","5.2","320","13.1","350","0.0","0.0","0.7","2.51","15.0","9","7.0"
"12","1003.1","1006.1","31.0","21.5","57","7.0","330","14.1","310","0.0","0.0","0.8","2.97","--","11","--"
"13","1002.6","1005.6","31.0","21.5","57","6.2","340","14.0","340","0.0","0.0","0.8","2.90","--","10","--"
"14","1002.2","1005.2","30.7","22.1","60","5.8","330","12.4","300","0.0","0.0","0.6","2.33","10.0","8","7.0"
"15","1001.7","1004.7","30.2","23.4","67","5.5","330","11.1","320","0.0","0.0","0.6","2.10","--","6","--"
"16","1001.6","1004.6","30.0","22.5","64","5.2","330","10.5","320","0.0","0.0","0.7","1.67","--","3","--"
"17","1001.7","1004.7","29.9","21.6","61","4.6","330","9.0","330","0.0","0.0","0.7","0.94","10.0","1","7.0"
"18","1001.8","1004.8","28.8","23.0","71","3.9","330","10.4","330","0.0","0.0","0.4","0.25","--","0","--"
"19","1002.3","1005.3","28.4","23.1","73","3.6","330","8.1","330","0.0","0.0","0.0","0.00","--","0","--"
"20","1002.6","1005.7","28.1","23.0","74","3.1","340","6.8","350","0.0","0.0","--","0.00","--","0","--"
"21","1002.9","1006.0","28.0","22.9","74","3.0","320","5.1","330","0.0","0.0","--","0.00","--","0","--"
"22","1003.0","1006.1","27.8","22.3","72","3.9","340","6.4","340","0.0","0.0","--","0.00","--","0","--"
"23","1002.9","1006.0","27.5","23.8","80","2.9","320","6.2","350","0.0","0.0","--","0.00","--","0","--"
"24","1002.6","1005.7","27.1","24.0","83","3.2","360","5.6","340","0.0","0.0","--","0.00","--","0","--"
